prod_picture,prod_no,prod_external,cat_code,prodName,prod_price,prod_salesprice,brief_Desc,Other_Desc,Brand_id,Inventory,prod_hot,prod_latest,prod_special,Related,,,,新分類
SY155010F,SY155010F,N/A,12125,"Sisle?um Anti-age Global Revitalizer – Normal Skin
男士極致全能精華",6720,0,規格：50 ml,Sisley 希思黎,N/A,2,False,False,False,N/A,,11260,,11260
SY121800F,SY121800F,N/A,12125,"Restorative Facial Cream
修護面霜",4590,0,規格：50 ml,Sisley 希思黎,N/A,2,False,False,False,N/A,,11260,,11260
"LA15314F-1,LA15314F-2",LA15314F,N/A,12125,"Cellular Cream Platinum Rare
鉑金霜",35680,0,規格：50 ml,la prairie莱珀妮,N/A,2,False,False,False,N/A,,11260,,11260
"LA15047F-1,LA15047F-2",LA15047F,N/A,12125,"Cellular Radiance Night Cream
極緻亮顏晚霜",20700,0,規格：50 ml,la prairie莱珀妮,N/A,2,False,False,False,N/A,,11260,,11260
SY162200F,SY162200F,N/A,12125,"Confort Extreme Day
再生還原日霜",5190,0,規格：50 ml,Sisley 希思黎,N/A,2,False,False,False,N/A,,11260,,11260
SY155000F,SY155000F,N/A,12125,"Sisle?um Anti-age Global Revitalizer (Dry Skin)
男士極致全能精華乳",6720,0,規格：50 ml,Sisley 希思黎,N/A,2,False,False,False,N/A,,11260,,11260
CN306410F,CN306410F,N/A,12125,"Revitalizing Gel
男仕高動能神采賦活精華",1670,0,規格：50 ml,Clarins克蘭詩,N/A,2,False,False,False,N/A,,11260,,11260
SY146000F,SY146000F,N/A,12125,"Sisleyouth
極漾抗初老晶萃",5020,0,規格：40 ml,Sisley 希思黎,N/A,2,False,False,False,N/A,,11260,,11260
LA15632F,LA15632F,N/A,12125,"White Caviar Illuminating Cream
鑽白魚子緊膚晶萃霜",15040,0,規格：50 ml,la prairie莱珀妮,N/A,2,False,False,False,N/A,,11260,,11260
"LA26800F-1,LA26800F-2",LA26800F,N/A,12125,"Cellular Radiance Cream
極緻亮顏煥膚霜",20700,0,規格：50 ml,la prairie莱珀妮,N/A,2,False,False,False,N/A,,11260,,11260
